mode,n_patients,mean_diff,ci_low,ci_high,wilcoxon_p,holm_p,tost_p,tost_equivalent
clahe,50,-0.014356938705151291,-0.024492223585640346,-0.0031859982574762255,0.001235703558341683,0.001235703558341683,0.7873668919116297,False
clahe_mm,50,-0.023545189050719905,-0.03430214748932106,-0.012041477996157502,4.880519277605799e-07,9.761038555211599e-07,0.9895626326910236,False
