epoch,train_loss,val_loss,lr,val_inference_ms_per_image,epoch_seconds
1,0.6139673766306633,0.4856748270491759,0.0009755282581475768,0.5112911457937722,40.649045600002864
2,0.34674310209094616,0.26251112918059033,0.0009045084971874736,0.3577989582860634,40.03683809999711
3,0.24603793035814728,0.3044079716006915,0.0007938926261462366,0.3905119791814589,40.194213099999615
4,0.18846284662899765,0.1529804284994801,0.0006545084971874737,0.3873708333799186,40.10331159999987
5,0.14344511188314732,0.17714895276973644,0.0005,0.37364374996210853,40.608721000000514
6,0.1136403050687578,0.11087850527837873,0.00034549150281252633,0.3856614583431413,40.87332599999718
7,0.09630000647067448,0.16990893225496015,0.0002061073738537635,0.3848005208245316,40.79569799999808
8,0.0841826207143961,0.1034809237656494,9.549150281252634e-05,0.3925958334131489,40.90580020000198
9,0.07514204779540859,0.09498206758871675,2.4471741852423235e-05,0.3635744792139424,40.198388899996644
10,0.07036298196672817,0.09508480550721288,0.0,0.3983791667110381,41.009839099999226
