run_id,training_seed,epochs,partition,n_patients,none_dice,spatial_dice,spatial_minus_none
pilot_20260919T140940Z_f86a8c,2026,50,dev,8,0.8966302908957005,0.8842813372612,-0.012348953634500504
pilot_20260919T141015Z_4b2d16,2027,50,dev,8,0.8897277601063251,0.8920798301696777,0.002352070063352585
pilot_20260919T141051Z_8bb2be,2028,50,dev,8,0.9081827737390995,0.895584300160408,-0.012598473578691483
pilot_20260919T141128Z_8e7841,2029,50,dev,8,0.8742901273071766,0.8907801024615765,0.016489975154399872
pilot_20260919T141204Z_9342a8,2030,50,dev,8,0.8823098167777061,0.8879185914993286,0.005608774721622467
