epoch,train_loss,val_loss,lr,val_inference_ms_per_image,epoch_seconds
1,0.5268244061661863,0.46127944588661196,0.0009755282581475768,0.7272574998205528,834.7242933000089
2,0.33854617949189814,0.38008834421634674,0.0009045084971874736,0.7530050000059418,48.70866649999516
3,0.291332903778416,0.31988553285598753,0.0007938926261462366,0.675405500078341,35.53049770000507
4,0.2552293276135949,0.2459459835290909,0.0006545084971874737,0.6722879996232223,35.50264449999668
5,0.22102834836676202,0.21240456998348237,0.0005,0.6918960003531538,35.58548770000925
6,0.1975964009333616,0.21366802394390105,0.00034549150281252633,0.662725500005763,35.07290030000149
7,0.16308687203403177,0.1518153193593025,0.0002061073738537635,0.6725519994506612,35.08665260000271
8,0.14515537293306713,0.13727633863687516,9.549150281252634e-05,0.7952310002292506,41671.98014159998
9,0.1260953670174911,0.12082355469465256,2.4471741852423235e-05,0.7073305002995767,37.114053199999034
10,0.1163386878953583,0.12007017433643341,0.0,0.7341774999804329,35.437970900005894
