epoch,train_loss,val_loss,lr,val_inference_ms_per_image,epoch_seconds
1,0.6079894240927581,0.46846097831924755,0.0009755282581475768,0.48960520835332016,57.20998739999959
2,0.35900750288352873,0.35181913649042446,0.0009045084971874736,0.418293749997171,59.048728499999925
3,0.22770398826414837,0.3040765045831601,0.0007938926261462366,0.34775156250551237,39.75069790000089
4,0.16851558881825296,0.16958723838130632,0.0006545084971874737,0.3473723958222763,39.90017309999894
5,0.12806274155199815,0.14881478110328317,0.0005,0.3709729167174676,40.07715150000149
6,0.1056046247266341,0.10132773236061136,0.00034549150281252633,0.3325666666664044,40.164337300000625
7,0.08787696378458525,0.10765165633832414,0.0002061073738537635,0.3464630208232696,40.72862659999919
8,0.0768561358721072,0.09494044197102387,9.549150281252634e-05,0.3505463542031369,40.73621579999963
9,0.06837860305888066,0.09426340321078897,2.4471741852423235e-05,0.33211822919080686,40.70910240000012
10,0.0631537559815651,0.09479858462388317,0.0,0.34614166665392077,40.63119729999926
