epoch,train_loss,val_loss,lr,val_inference_ms_per_image,epoch_seconds
1,0.5010107493606107,0.4386546194553375,0.0009755282581475768,0.7575204997556284,3266.846883799997
2,0.31177499445005397,0.2748068487644196,0.0009045084971874736,0.6755290002911352,61.840748399990844
3,0.260108407886549,0.25901621222496035,0.0007938926261462366,0.6472219998249784,34.489732299989555
4,0.228681525108458,0.28161210417747495,0.0006545084971874737,0.6436994993418921,33.88648580000154
5,0.20435285178580503,0.25388491213321684,0.0005,0.654892999882577,34.58169099999941
6,0.18295794494193177,0.24632406175136567,0.00034549150281252633,0.6880774997989647,34.08041249998496
7,0.153253264297014,0.1430494701862335,0.0002061073738537635,0.6563770002685487,34.692104700021446
8,0.140027925200846,0.14047867506742479,9.549150281252634e-05,0.6602630001725629,34.897960500005865
9,0.12313135773286052,0.14543680995702743,2.4471741852423235e-05,0.6423769996035844,34.047698999987915
10,0.11206836094972732,0.11546863585710526,0.0,0.6828579999273643,34.49415940002655
