epoch,train_loss,val_loss,lr,val_inference_ms_per_image,epoch_seconds
1,0.3665909990668297,0.26135949671268466,0.0009755282581475768,0.3784529999757069,134.66931939999995
2,0.2258838325738907,0.2501486313343048,0.0009045084971874736,0.37823849997948855,58.59172120000039
3,0.19345593258738517,0.17901977956295012,0.0007938926261462366,0.35573150000345777,44.308422599999176
4,0.1716650601476431,0.3091046875715256,0.0006545084971874737,0.33175249997839273,43.1179886000009
5,0.16090034555643798,0.1494380810856819,0.0005,0.3420644999914657,43.146656099999745
6,0.1481166482716799,0.33813950717449187,0.00034549150281252633,0.35255049998340837,42.895883299999696
7,0.1400620635598898,0.14553585320711135,0.0002061073738537635,0.3440094999768917,42.94582040000023
8,0.13153225239366292,0.141128066778183,9.549150281252634e-05,0.36534549999487353,43.91599219999989
9,0.12615294333547353,0.1279745152592659,2.4471741852423235e-05,0.3779644999667653,44.3044546000001
10,0.12206375677138567,0.1256193533539772,0.0,0.3421720000278583,43.12873709999985
