epoch,train_loss,val_loss,lr,val_inference_ms_per_image,epoch_seconds
1,0.3871808323264122,0.3410721063613892,0.0009755282581475768,0.40081299996927555,61.652327899999364
2,0.21766591772437097,0.20434354484081269,0.0009045084971874736,0.35009349997380923,58.06652310000027
3,0.18023435965180398,0.1596069246530533,0.0007938926261462366,0.35089349998088437,43.71238430000085
4,0.16114653315395117,0.19314307004213332,0.0006545084971874737,0.3372269999817945,43.04213659999914
5,0.1472012482583523,0.15101440966129304,0.0005,0.3643640000063897,42.98261029999958
6,0.1353873597458005,0.14709141373634338,0.00034549150281252633,0.32702749999771186,43.07742370000051
7,0.12617199536412954,0.13799718767404556,0.0002061073738537635,0.331943000010142,42.90051510000012
8,0.11669157534837722,0.11717873305082321,9.549150281252634e-05,0.3373905000171362,42.841765099999975
9,0.11045292969793082,0.11312573045492172,2.4471741852423235e-05,0.3500719999829016,42.74595959999897
10,0.10635050535202026,0.1121998929977417,0.0,0.38238499997532926,42.874669700000595
