epoch,train_loss,val_loss,lr,val_inference_ms_per_image,epoch_seconds
1,0.5077784008335793,0.4191610300540924,0.0009755282581475768,0.6772054995235521,66.02011990000028
2,0.3148060327973859,0.29589428901672366,0.0009045084971874736,0.6649104999087285,48.82809389999602
3,0.2658602924182497,0.25748318433761597,0.0007938926261462366,0.6587314998614602,35.27796189999208
4,0.23421078603500609,0.19428035050630568,0.0006545084971874737,0.6556570001703221,35.101891199999955
5,0.20991296860678443,0.17952367812395095,0.0005,0.6779719995392952,35.38539189999574
6,0.19258552365775766,0.1994577381014824,0.00034549150281252633,0.6609235001087654,36.003859999997076
7,0.16616203871437873,0.14237940847873687,0.0002061073738537635,0.6823195003380533,35.638636699994095
8,0.1534203510174806,0.13486048221588134,9.549150281252634e-05,0.6474740001431201,34.55080719999387
9,0.13769336948278307,0.1316171905398369,2.4471741852423235e-05,0.6831964995944872,34.881167800020194
10,0.12609089444252267,0.12347141236066818,0.0,0.6635295004525688,34.439497999992454
