mode,n_patients,mean_diff,ci_low,ci_high,wilcoxon_p,holm_p,tost_p,tost_equivalent
clahe,50,-0.011666445447682139,-0.015964197018372785,-0.007553182588023195,5.951474850718341e-07,2.3805899402873365e-06,0.7734023097027,False
clahe_mm,50,-0.0008366278622284162,-0.004859392772499511,0.002978878167703788,0.8258163298101913,0.8258163298101913,2.1721458963286366e-05,True
nlm_mm,50,0.0005861022706975083,-0.001962839577185661,0.0028305546102703125,0.2373529877703877,0.7120589633111631,5.744663767052631e-10,True
hybrid_mm,50,-0.002061342383956364,-0.006042503094244374,0.0016932799637921327,0.2571237847552261,0.7120589633111631,0.00011229136512702631,True
