mode,n_patients,mean_diff,ci_low,ci_high,wilcoxon_p,holm_p,tost_p,tost_equivalent
clahe,50,0.01161813067093984,0.0006768357378277867,0.0229833909147902,0.0932040847757225,0.186408169551445,0.6100883194703846,False
clahe_mm,50,0.016592237081252834,0.0055924202430193085,0.02747370184168999,0.002996250182501825,0.0119850007300073,0.876922014370232,False
nlm_mm,50,0.009720374409903275,-0.00043197983794062897,0.01955307033399851,0.033687793845592395,0.10106338153677719,0.478329141544373,False
hybrid_mm,50,-0.010416050390764302,-0.0227970661356315,0.0011396635517716496,0.22974800885474522,0.22974800885474522,0.5270161304111337,False
