mode,n_patients,mean_diff,ci_low,ci_high,wilcoxon_p,holm_p,tost_p,tost_equivalent
clahe,100,-0.014098976039074227,-0.022625749029089873,-0.004840167156241581,0.00012621354652986807,0.0005048541861194723,0.8164675797698937,False
clahe_mm,100,-0.0018589908434931634,-0.010432902170401808,0.006933183851909788,0.9506505527719576,1.0,0.035949023607205866,True
nlm_mm,100,-0.0010795761281117667,-0.008309031864572755,0.006119095688219293,0.7413401306177619,1.0,0.008604844141939516,True
hybrid_mm,100,-0.003454813881465265,-0.013013246995380746,0.005399764734397761,0.7052703389500983,1.0,0.08448039815275188,False
