mode,epoch,train_loss,dev_loss,dev_patient_dice
none,1,1.4222470819950104,1.6444675922393799,0.14937425451353192
none,2,1.2491199523210526,1.748699963092804,0.14971517026424408
none,3,1.15929813683033,1.528027892112732,0.3762991977855563
none,4,1.1023712009191513,1.242131769657135,0.6796939633786678
none,5,1.0561444833874702,1.1399680376052856,0.7226818222552538
none,6,1.0065518617630005,1.0903208255767822,0.8265660982578993
none,7,0.9629123508930206,1.0435361862182617,0.8297789581120014
none,8,0.9307560101151466,1.0201711058616638,0.8352713212370872
none,9,0.8910657241940498,0.9984664022922516,0.8286312855780125
none,10,0.8503011092543602,0.944856733083725,0.8474778160452843
none,11,0.8109262511134148,0.8921318054199219,0.7983068898320198
none,12,0.7720504924654961,0.8448497653007507,0.8514439724385738
direct_temporal,1,1.4209799766540527,1.6483204364776611,0.1498052692040801
direct_temporal,2,1.2497847229242325,1.782436192035675,0.1493042167276144
direct_temporal,3,1.157534807920456,1.5450623035430908,0.28416605293750763
direct_temporal,4,1.1029941737651825,1.209808886051178,0.7624713648110628
direct_temporal,5,1.058236189186573,1.1190601587295532,0.7365610748529434
direct_temporal,6,1.0087665617465973,1.0549519062042236,0.823972737416625
direct_temporal,7,0.9660683870315552,1.0571714639663696,0.8219763245433569
direct_temporal,8,0.9267489910125732,1.0291042923927307,0.7774938847869635
direct_temporal,9,0.8835650682449341,0.9537204205989838,0.8377028107643127
direct_temporal,10,0.8452430218458176,0.9624922573566437,0.8192874155938625
direct_temporal,11,0.8082369491457939,0.9098437428474426,0.8025537356734276
direct_temporal,12,0.7738141492009163,0.8527855277061462,0.8598143793642521
spatial,1,1.4223125874996185,1.6444700360298157,0.14937687618657947
spatial,2,1.2500206530094147,1.756698727607727,0.14972132164984941
spatial,3,1.1601487547159195,1.4956356287002563,0.4259587023407221
spatial,4,1.102698102593422,1.2415821552276611,0.6669845785945654
spatial,5,1.056745819747448,1.1432723999023438,0.7210364732891321
spatial,6,1.0071152970194817,1.0758005380630493,0.8219794034957886
spatial,7,0.9635854288935661,1.0422924757003784,0.8419168181717396
spatial,8,0.932932548224926,1.1145456433296204,0.6826417110860348
spatial,9,0.8894136175513268,0.976413369178772,0.8579179532825947
spatial,10,0.8491299375891685,0.9479944705963135,0.8430217616260052
spatial,11,0.8108735010027885,0.8691103756427765,0.8722153417766094
spatial,12,0.7703229039907455,0.8366008400917053,0.860627181828022
temporal,1,1.4222819805145264,1.644483208656311,0.1493761562742293
temporal,2,1.2503754049539566,1.762190580368042,0.14939268585294485
temporal,3,1.1592790931463242,1.547311007976532,0.35903191938996315
temporal,4,1.1025566905736923,1.2761383056640625,0.6040665544569492
temporal,5,1.0543062016367912,1.1620380878448486,0.7131852135062218
temporal,6,1.0055704787373543,1.0847461819648743,0.8272730223834515
temporal,7,0.9637202247977257,1.0569003820419312,0.8498003706336021
temporal,8,0.9319583922624588,1.0279186367988586,0.8199080228805542
temporal,9,0.8916706666350365,0.9824578762054443,0.8221347332000732
temporal,10,0.8510684370994568,0.9730434715747833,0.8032430689781904
temporal,11,0.8109894767403603,0.890172928571701,0.8153413534164429
temporal,12,0.7709255367517471,0.8435820937156677,0.84335146099329
