epoch,train_loss,val_loss,lr,val_inference_ms_per_image,epoch_seconds
1,0.611036082972651,0.5189484146734079,0.0009755282581475768,0.4839932291910524,44.37623370000074
2,0.34781932535666776,0.23276815470308065,0.0009045084971874736,0.36409687500812044,62.781502899999396
3,0.21776731236689334,0.22454740510632595,0.0007938926261462366,0.35314427081326966,40.904911400000856
4,0.16691963792135175,0.15912936627864838,0.0006545084971874737,0.3608562499929728,40.12756719999925
5,0.13682014045220067,0.1860619963457187,0.0005,0.357975000033169,40.6621825000002
6,0.11234009544846517,0.11866902125378449,0.00034549150281252633,0.337653124991751,40.96387229999891
7,0.09609510805367848,0.09680039963374536,0.0002061073738537635,0.3434708333524365,40.643978199999765
8,0.08040085494302321,0.09192446945235133,9.549150281252634e-05,0.39150052086256437,40.790723300000536
9,0.07125534777696006,0.0846365075558424,2.4471741852423235e-05,0.38594895833436266,40.209340800000064
10,0.0650148956546029,0.08408200119932492,0.0,0.3384197916318499,40.13234019999982
