epoch,train_loss,val_loss,lr,val_inference_ms_per_image,epoch_seconds
1,0.31547650769352914,0.22603667557239532,0.0009755282581475768,0.8047524996800348,820.7525986999972
2,0.19561355859041213,0.18045922636985778,0.0009045084971874736,0.7665645005181432,156.38842380000278
3,0.16350355371832848,0.1474808719754219,0.0007938926261462366,0.7806730004085694,103.37869159999536
4,0.15112043712288142,0.1686229494214058,0.0006545084971874737,0.7524344998819288,104.66008000000147
5,0.13856637958437204,0.1402731341123581,0.0005,0.7591344999673311,102.0838945999858
6,0.12643901370465754,0.13250398844480515,0.00034549150281252633,0.766856499685673,104.53400739998324
7,0.1172806204110384,0.12168652027845382,0.0002061073738537635,0.7803004997549579,103.38682179999887
8,0.10903468694537878,0.10774223387241363,9.549150281252634e-05,0.7892950005771127,104.31746390002081
9,0.10179984431713819,0.10383091539144516,2.4471741852423235e-05,0.7599944999674335,105.22917929998948
10,0.09694954749196767,0.10247308909893035,0.0,0.7505305000813678,105.72502300000633
