epoch,train_loss,val_loss,lr,val_inference_ms_per_image,epoch_seconds
1,0.6130601956648527,0.47771727045377094,0.0009755282581475768,0.5379197916681733,51.966466000001674
2,0.33939094848678886,0.2800160037974517,0.0009045084971874736,0.3791166666549846,55.06577760000073
3,0.19934267496717148,0.19560911630590758,0.0007938926261462366,0.3514447916662296,40.880060700001195
4,0.1519627314114916,0.15529340909173092,0.0006545084971874737,0.35620677084580166,40.786803099999815
5,0.12016308275253876,0.13083572375277677,0.0005,0.37736302079830847,40.92552869999963
6,0.10024015130340189,0.13631360605359077,0.00034549150281252633,0.3340510416004842,40.90136640000128
7,0.08508516394573709,0.11319743267570932,0.0002061073738537635,0.36498697917863865,40.813862099999824
8,0.07381212731130457,0.10086841400091846,9.549150281252634e-05,0.34705104166240136,40.860955099999046
9,0.06556115034913672,0.09606419845173757,2.4471741852423235e-05,0.3653880208200159,40.90005490000112
10,0.06181476715106319,0.0939640705473721,0.0,0.3403916666400164,40.92482899999959
