epoch,train_loss,val_loss,lr,val_inference_ms_per_image,epoch_seconds
1,0.3554510848969221,0.36853880405426026,0.0009755282581475768,0.3459660000044096,97.89274509999996
2,0.20762080617249012,0.1765097352862358,0.0009045084971874736,0.35494950000611425,58.385056400000394
3,0.17249202843755485,0.27392301201820374,0.0007938926261462366,0.35377299997890077,44.440429700000095
4,0.15602221801877023,0.15420138835906982,0.0006545084971874737,0.3364495000187162,44.67040880000059
5,0.14543517354875804,0.13288632899522781,0.0005,0.3065900000183319,44.63969629999883
6,0.13516922771930695,0.12720118284225465,0.00034549150281252633,0.33726300000125775,43.737972900000386
7,0.12749781891703604,0.13194011986255647,0.0002061073738537635,0.32591349999165686,43.2481712000008
8,0.11895560044795275,0.11373547434806824,9.549150281252634e-05,0.34089100001438055,43.420808199998646
9,0.11242849048227072,0.11674952179193497,2.4471741852423235e-05,0.3459990000101243,43.17717639999864
10,0.10818198848515749,0.11267024248838425,0.0,0.33381300002474745,43.3531626999993
