epoch,train_loss,val_loss,lr,val_inference_ms_per_image,epoch_seconds
1,0.4407061544917432,0.34288836620291885,0.0009755282581475768,0.46878928572610046,182.02221329999884
2,0.24931849293978267,0.23114956063883646,0.0009045084971874736,0.3961081632561608,103.61123719999887
3,0.19378770574817494,0.18373968938783725,0.0007938926261462366,0.36939056123201786,84.3668336999981
4,0.16490039163491063,0.1704561982531937,0.0006545084971874737,0.3612540816234565,84.38260530000116
5,0.1437702522560478,0.1466264381092422,0.0005,0.37274617346954575,83.348595200001
6,0.12347712444658654,0.14344088558335694,0.00034549150281252633,0.3937931122315919,83.5911855000013
7,0.11077827559349285,0.13181788383089765,0.0002061073738537635,0.3760908163285978,83.34805469999992
8,0.10135180522351359,0.11648297674801884,9.549150281252634e-05,0.3712859694337103,83.1957470999987
9,0.09356863027854985,0.12071751377412251,2.4471741852423235e-05,0.36175765309072094,83.65324490000057
10,0.08983093169712317,0.11395975217527272,0.0,0.3616571428080663,83.55049950000102
