mode,n_patients,mean_diff,ci_low,ci_high,wilcoxon_p,holm_p,tost_p,tost_equivalent
gaussian,39,0.0030366315178145483,-0.004802990673376757,0.010961595439533008,0.4680253155929677,1.0,0.04565119990551722,True
wavelet,39,-0.01309526245308728,-0.020483871011858053,-0.005423374151445519,0.0014682026667287573,0.006583520480489824,0.7842381037449115,False
nlm,39,0.002746947025291441,-0.005915058041262509,0.011728407055407251,0.7666987905977294,1.0,0.058468455819043814,False
clahe,39,-0.02336193271679696,-0.037026608473551534,-0.009454089707312893,0.0013167040960979648,0.006583520480489824,0.96547358723589,False
hybrid,39,-0.0013134005885635143,-0.01413786406606638,0.011774088108402275,0.8522410723089706,1.0,0.10083649157821806,False
