epoch,train_loss,val_loss,lr,val_inference_ms_per_image,epoch_seconds
1,0.37512074788020927,0.3040746769734791,0.0009755282581475768,0.923523214308317,243.90097469999455
2,0.2416314095331937,0.22515844751377495,0.0009045084971874736,0.8185729590821916,180.91642950000823
3,0.1949695650057945,0.19494327948409684,0.0007938926261462366,0.7828869899955806,161.4450257999997
4,0.17357702353735813,0.16501334659299072,0.0006545084971874737,0.7776408163000288,159.67345410000416
5,0.15628711538760023,0.20938028767704964,0.0005,0.8203461735802751,162.25087829999393
6,0.14361060796996591,0.16694797134521056,0.00034549150281252633,0.8007145411933639,170.43584060002468
7,0.128140508249878,0.14687770521458315,0.0002061073738537635,0.7966224487861429,163.64333139997325
8,0.1135909167148118,0.12707538089277792,9.549150281252634e-05,0.8034303571882763,162.69645030001993
9,0.10584848451929245,0.13028499582896427,2.4471741852423235e-05,0.8092969390937859,166.8513418000075
10,0.10105559477898354,0.12706545078936887,0.0,0.8118232143140037,164.75323400000343
