epoch,train_loss,val_loss,lr,val_inference_ms_per_image,epoch_seconds
1,0.45908803380420754,0.4022293347120285,0.0009755282581475768,0.3293380000104662,85.34680060000028
2,0.2605777382850647,0.43638137221336365,0.0009045084971874736,0.3219584999988001,84.48066830000062
3,0.20333023317452095,0.22337545990943908,0.0007938926261462366,0.352856499966947,84.67760839999937
4,0.17193226134210066,0.1960296869277954,0.0006545084971874737,0.3385380000145233,84.50328640000043
5,0.14978732013093898,0.22021527469158172,0.0005,0.33809450002081576,83.72075920000134
6,0.13222896097673065,0.13440851926803588,0.00034549150281252633,0.33020200000464683,82.23964290000004
7,0.11515019714763158,0.1332918292284012,0.0002061073738537635,0.37016249998487183,82.29823279999982
8,0.10531730285203927,0.1325001186132431,9.549150281252634e-05,0.34158000001298205,82.07177910000064
9,0.09552839365539308,0.12494679361581802,2.4471741852423235e-05,0.340867499999149,82.28102240000044
10,0.09176747841445033,0.12392383038997651,0.0,0.33917900000233203,81.98431600000004
