epoch,train_loss,val_loss,lr,val_inference_ms_per_image,epoch_seconds
1,0.38993397548794745,0.2813607287406921,0.0009755282581475768,0.5327764998219209,10674.463981100009
2,0.2212060194462538,0.22088622272014619,0.0009045084971874736,0.2797480002482189,56.77565019999747
3,0.17819623820483685,0.575587602853775,0.0007938926261462366,0.3048189997934969,42.31350630000816
4,0.15697479695081712,0.15142589569091797,0.0006545084971874737,0.287370000150986,42.562894799993956
5,0.1428709702193737,0.15075238317251205,0.0005,0.4038050000235671,43.317127899994375
6,0.1307183454185724,0.1361549910902977,0.00034549150281252633,0.3970255000604084,56.339403100006166
7,0.12038521014153958,0.1235245817899704,0.0002061073738537635,0.630917499656789,62.74736969999503
8,0.1111131688207388,0.11597862154245377,9.549150281252634e-05,0.6183504999353318,62.839024300003075
9,0.10507876761257648,0.11204884648323059,2.4471741852423235e-05,0.6275854998239083,60.24236849999579
10,0.1010620116069913,0.11121243238449097,0.0,0.4664779999438906,57.12845129999914
